date,open,high,low,close,volume,close_time,asset_volume,trade_number,taker_buy_base,taker_buy_quote
2020-09-23 07:00:00,44.76000000,44.86000000,44.60000000,44.64000000,14817.46331000,1600862399999,662659.12744580,1467,5384.72174000,240858.19124640
2020-09-23 08:00:00,44.63000000,45.14000000,44.55000000,44.95000000,18531.12556000,1600865999999,831696.33205810,1688,11030.13876000,495149.14606370
2020-09-23 09:00:00,44.94000000,45.01000000,44.70000000,44.70000000,26407.33483000,1600869599999,1185537.01889330,2142,13246.80570000,594754.38531320
2020-09-23 10:00:00,44.72000000,44.79000000,44.37000000,44.39000000,13751.19753000,1600873199999,612303.88917950,1356,5477.92882000,243897.21858830
2020-09-23 11:00:00,44.40000000,44.51000000,44.30000000,44.40000000,8873.23576000,1600876799999,394107.43890640,999,4426.60752000,196617.39199880
2020-09-23 12:00:00,44.40000000,44.63000000,44.34000000,44.51000000,8404.26345000,1600880399999,373947.92535710,853,3864.04481000,171948.29272210
2020-09-23 13:00:00,44.51000000,44.59000000,44.30000000,44.31000000,11200.31433000,1600883999999,497955.33221420,920,5589.76547000,248503.77102070
2020-09-23 14:00:00,44.31000000,44.31000000,43.91000000,43.93000000,11882.84738000,1600887599999,523864.71910030,1230,4955.39743000,218528.91219780
2020-09-23 15:00:00,43.92000000,44.02000000,42.80000000,43.32000000,48798.83517000,1600891199999,2113847.69090660,5308,22781.48883000,986746.47231650
2020-09-23 16:00:00,43.31000000,43.47000000,42.25000000,43.03000000,52736.00257000,1600894799999,2259910.53781780,5719,29038.34380000,1244627.32283060
2020-09-23 17:00:00,43.02000000,43.41000000,42.92000000,43.30000000,27284.12579000,1600898399999,1178284.22967300,3069,13105.93871000,566123.56552560
2020-09-23 18:00:00,43.29000000,43.35000000,42.91000000,43.23000000,11576.63023000,1600901999999,499235.31340260,1390,5928.19210000,255664.76276580
2020-09-23 19:00:00,43.22000000,43.22000000,42.81000000,42.96000000,12016.76995000,1600905599999,516689.94607610,1134,5540.95836000,238232.72422690
2020-09-23 20:00:00,42.99000000,43.61000000,42.56000000,43.58000000,31001.44046000,1600909199999,1340204.52231620,2722,14221.67054000,614565.90372500
2020-09-23 21:00:00,43.56000000,43.64000000,43.38000000,43.49000000,12271.94319000,1600912799999,534184.05064500,1095,6936.42857000,301936.64874090
2020-09-23 22:00:00,43.47000000,43.72000000,43.42000000,43.55000000,14303.01544000,1600916399999,623163.57091860,1723,7178.27737000,312771.56509340
2020-09-23 23:00:00,43.56000000,43.73000000,43.49000000,43.53000000,14755.44841000,1600919999999,643260.21969660,1216,5609.95128000,244551.26812570
2020-09-24 00:00:00,43.53000000,43.69000000,43.34000000,43.36000000,21575.15465000,1600923599999,938041.78969230,1721,8667.89104000,376910.42871760
2020-09-24 01:00:00,43.35000000,43.54000000,43.35000000,43.42000000,11662.08747000,1600927199999,506574.98906920,882,6422.02135000,278926.34628360
2020-09-24 02:00:00,43.41000000,43.76000000,43.41000000,43.56000000,11384.68264000,1600930799999,496678.83007480,1164,6231.47309000,271802.58485560
2020-09-24 03:00:00,43.54000000,44.00000000,43.54000000,43.88000000,10290.48338000,1600934399999,450555.57587910,1121,5644.78136000,247122.62265560
2020-09-24 04:00:00,43.89000000,43.99000000,43.45000000,43.50000000,13195.24650000,1600937999999,576669.31931530,1402,6657.03997000,291109.87777100
2020-09-24 05:00:00,43.50000000,43.70000000,43.37000000,43.63000000,8167.03861000,1600941599999,355203.83997360,814,3756.38350000,163358.59833440
2020-09-24 06:00:00,43.64000000,44.07000000,43.55000000,44.00000000,16023.66959000,1600945199999,700636.35550240,1384,8879.18042000,388322.42530520
2020-09-24 07:00:00,43.99000000,44.55000000,43.97000000,44.14000000,27114.67657000,1600948799999,1200062.03829930,2973,14546.51398000,643750.36079530
2020-09-24 08:00:00,44.14000000,44.27000000,43.82000000,43.94000000,17046.33809000,1600952399999,750355.16756770,1677,10122.16249000,445595.62701110
2020-09-24 09:00:00,43.92000000,44.02000000,43.70000000,43.93000000,11659.27417000,1600955999999,511603.59190420,1158,5790.79414000,254056.77087540
2020-09-24 10:00:00,43.95000000,44.10000000,43.88000000,44.04000000,9829.64000000,1600959599999,432401.58271650,1028,5162.15877000,227097.25104050
2020-09-24 11:00:00,44.05000000,44.80000000,43.99000000,44.71000000,23461.13050000,1600963199999,1043595.82270650,2551,12654.08248000,562898.41172460
2020-09-24 12:00:00,44.70000000,45.29000000,44.70000000,44.97000000,41280.03547000,1600966799999,1856636.85357530,4082,22462.41719000,1010579.76228500
2020-09-24 13:00:00,44.98000000,45.02000000,44.78000000,44.78000000,10638.55128000,1600970399999,477487.70403440,1277,5119.81673000,229859.16584560
2020-09-24 14:00:00,44.80000000,44.97000000,44.68000000,44.69000000,13591.03401000,1600973999999,608768.71422420,1443,4742.21620000,212440.36997310
2020-09-24 15:00:00,44.71000000,44.91000000,44.60000000,44.91000000,11528.35086000,1600977599999,516090.22264140,1005,5270.18436000,235972.73288970
2020-09-24 16:00:00,44.90000000,45.16000000,44.84000000,44.99000000,17063.67892000,1600981199999,768405.39985050,1417,8264.41498000,372228.03533880
